id,year,State,new_agi_stub,Returns,Single,Joint,Hd_of_Hshld,AGI_Amt,Std_Ded_Charity_Returns,Std_Ded_Charity_Amt,Std_Ded_Returns,Std_Ded_Amt,Itemized_Ded_Returns,Itemized_Ded_Amt,Charitable_Returns,Charitable_Amt
51,2012,DC,4.0,29440.0,,5060.0,2730.0,2545089.0,,,,,20950.0,417189.0,16450.0,60369.0
52,2012,DC,5.0,40960.0,,15990.0,2130.0,5636339.0,,,,,36660.0,1008139.0,30060.0,120647.0
53,2012,DC,6.0,21600.0,,15290.0,520.0,12278504.0,,,,,21360.0,2105376.0,19510.0,346243.0
54,2012,FL,1.0,4100510.0,,569970.0,907410.0,52323821.0,,,,,282620.0,4263759.0,176540.0,311124.0
55,2012,FL,2.0,2192850.0,,639590.0,457630.0,78377506.0,,,,,514340.0,8375619.0,376920.0,924740.0
56,2012,FL,3.0,1068960.0,,543530.0,126330.0,65573795.0,,,,,422370.0,7809842.0,339690.0,1015844.0
57,2012,FL,4.0,631510.0,,442880.0,41490.0,54571370.0,,,,,314910.0,6585841.0,266480.0,942142.0
58,2012,FL,5.0,760560.0,,611600.0,29270.0,101939192.0,,,,,502120.0,12738031.0,447080.0,2037563.0
59,2012,FL,6.0,278560.0,,227610.0,7870.0,192046261.0,,,,,241270.0,18382716.0,223110.0,5195205.0
60,2012,GA,1.0,1870880.0,,238340.0,537590.0,23978916.0,,,,,149830.0,2061944.0,104780.0,246992.0
61,2012,GA,2.0,1017110.0,,301180.0,260370.0,36407600.0,,,,,325190.0,5004300.0,257980.0,817699.0
62,2012,GA,3.0,521130.0,,267190.0,67480.0,31984555.0,,,,,295790.0,5332998.0,249830.0,907876.0
63,2012,GA,4.0,317500.0,,226670.0,21750.0,27478039.0,,,,,229220.0,4691565.0,201390.0,830509.0
64,2012,GA,5.0,407780.0,,341330.0,13800.0,55206298.0,,,,,360090.0,9421302.0,329250.0,1733118.0
65,2012,GA,6.0,131130.0,,115410.0,2920.0,64373143.0,,,,,128720.0,9050385.0,121830.0,2430445.0
66,2012,HI,1.0,237430.0,,33920.0,30210.0,2942483.0,,,,,16910.0,272719.0,10720.0,17847.0
67,2012,HI,2.0,172110.0,,48220.0,27760.0,6242014.0,,,,,36420.0,590575.0,27510.0,58874.0
68,2012,HI,3.0,93810.0,,46610.0,8920.0,5763732.0,,,,,40580.0,772698.0,32460.0,77878.0
69,2012,HI,4.0,59250.0,,41300.0,3460.0,5129137.0,,,,,36200.0,804942.0,29950.0,79443.0
70,2012,HI,5.0,72490.0,,60210.0,2190.0,9623662.0,,,,,57130.0,1638656.0,49830.0,166799.0
71,2012,HI,6.0,17080.0,,14270.0,410.0,7670065.0,,,,,16180.0,1106797.0,14470.0,152207.0
72,2012,ID,1.0,271570.0,,53440.0,41230.0,3386997.0,,,,,20860.0,308428.0,13560.0,29598.0
73,2012,ID,2.0,168980.0,,78830.0,24600.0,6094818.0,,,,,41880.0,624868.0,29540.0,85620.0
74,2012,ID,3.0,96460.0,,68920.0,5850.0,5938524.0,,,,,45210.0,798957.0,36020.0,134694.0
75,2012,ID,4.0,57080.0,,48450.0,1870.0,4946513.0,,,,,37280.0,753658.0,31560.0,140941.0
76,2012,ID,5.0,56850.0,,51100.0,1190.0,7612235.0,,,,,47680.0,1229796.0,42630.0,240294.0
77,2012,ID,6.0,13510.0,,12090.0,280.0,6928552.0,,,,,13010.0,957974.0,12150.0,236794.0
78,2012,IL,1.0,2308600.0,,262010.0,484370.0,27948158.0,,,,,167000.0,2563588.0,105960.0,169657.0
79,2012,IL,2.0,1363380.0,,364740.0,294930.0,49410528.0,,,,,333890.0,5246281.0,241770.0,512241.0
80,2012,IL,3.0,821450.0,,381280.0,101440.0,50629345.0,,,,,390920.0,6999257.0,307470.0,743136.0
81,2012,IL,4.0,538360.0,,363340.0,37600.0,46656431.0,,,,,345970.0,7130507.0,289350.0,783193.0
82,2012,IL,5.0,720580.0,,594030.0,22940.0,97837413.0,,,,,605690.0,15742446.0,539740.0,1890555.0
83,2012,IL,6.0,241010.0,,208350.0,4910.0,135417278.0,,,,,234290.0,17240357.0,219620.0,3612193.0
84,2012,IN,1.0,1244880.0,,173110.0,217650.0,14712779.0,,,,,62990.0,903096.0,40100.0,83855.0
85,2012,IN,2.0,720610.0,,235390.0,136170.0,26009903.0,,,,,134050.0,1834483.0,90610.0,235543.0
86,2012,IN,3.0,415260.0,,255060.0,37500.0,25594209.0,,,,,152060.0,2386846.0,114350.0,350007.0
87,2012,IN,4.0,263340.0,,212730.0,11770.0,22773080.0,,,,,137560.0,2459540.0,112850.0,394825.0
88,2012,IN,5.0,282960.0,,250790.0,7000.0,37636400.0,,,,,216970.0,4775785.0,192530.0,854238.0
89,2012,IN,6.0,65790.0,,58650.0,1310.0,31691728.0,,,,,63260.0,3677850.0,59580.0,946620.0
90,2012,IA,1.0,507910.0,,64020.0,70980.0,6258870.0,,,,,37250.0,562638.0,25300.0,44598.0
91,2012,IA,2.0,351430.0,,111030.0,51710.0,12774210.0,,,,,78800.0,1095618.0,53080.0,113861.0
92,2012,IA,3.0,217180.0,,138140.0,14540.0,13430396.0,,,,,85690.0,1358335.0,64930.0,161864.0
93,2012,IA,4.0,143130.0,,120980.0,3780.0,12472945.0,,,,,79790.0,1440029.0,66250.0,189825.0
94,2012,IA,5.0,152910.0,,137850.0,2330.0,20889380.0,,,,,123710.0,2826492.0,111860.0,435332.0
95,2012,IA,6.0,35540.0,,31630.0,550.0,17054288.0,,,,,33780.0,2058238.0,32120.0,484140.0
96,2012,KS,1.0,504490.0,,70720.0,77430.0,6023076.0,,,,,34040.0,532429.0,22470.0,46033.0
97,2012,KS,2.0,314820.0,,107160.0,52750.0,11384963.0,,,,,62090.0,912509.0,43190.0,112023.0
98,2012,KS,3.0,186680.0,,115790.0,14960.0,11557054.0,,,,,72830.0,1198827.0,55720.0,168740.0
99,2012,KS,4.0,119920.0,,97710.0,4490.0,10468485.0,,,,,69320.0,1295644.0,57020.0,195179.0
100,2012,KS,5.0,140490.0,,124870.0,3010.0,19125897.0,,,,,116280.0,2756257.0,104120.0,475473.0
101,2012,KS,6.0,38710.0,,34530.0,770.0,19871189.0,,,,,37590.0,2589587.0,35670.0,695583.0
102,2012,KY,1.0,789680.0,,132220.0,152850.0,9781709.0,,,,,43800.0,604861.0,29230.0,62556.0
103,2012,KY,2.0,457190.0,,166050.0,80690.0,16450328.0,,,,,102430.0,1391213.0,72530.0,177748.0
104,2012,KY,3.0,253180.0,,161830.0,21200.0,15614181.0,,,,,109970.0,1766471.0,86060.0,248232.0
105,2012,KY,4.0,155790.0,,128170.0,6190.0,13514783.0,,,,,97900.0,1797067.0,81620.0,268606.0
106,2012,KY,5.0,157780.0,,140150.0,3560.0,21096843.0,,,,,133330.0,3191795.0,120330.0,550600.0
107,2012,KY,6.0,37170.0,,32810.0,760.0,17587666.0,,,,,36290.0,2330340.0,34240.0,516955.0
108,2012,LA,1.0,865940.0,,92540.0,266900.0,11071479.0,,,,,41630.0,616096.0,25550.0,64643.0
109,2012,LA,2.0,467150.0,,120080.0,128070.0,16821612.0,,,,,96310.0,1552393.0,68760.0,232964.0
110,2012,LA,3.0,246900.0,,124530.0,37570.0,15182468.0,,,,,90580.0,1655314.0,67460.0,262844.0
111,2012,LA,4.0,153400.0,,112310.0,11880.0,13288444.0,,,,,71260.0,1446349.0,55780.0,242734.0
112,2012,LA,5.0,194480.0,,164590.0,7670.0,26157714.0,,,,,128970.0,3046561.0,107960.0,552096.0
113,2012,LA,6.0,56830.0,,48800.0,1470.0,30070080.0,,,,,52640.0,3036832.0,47790.0,710069.0
114,2012,ME,1.0,247790.0,,36740.0,29690.0,3059243.0,,,,,15730.0,227493.0,8750.0,10737.0
115,2012,ME,2.0,158830.0,,53010.0,20270.0,5731733.0,,,,,36020.0,513050.0,22380.0,33757.0
